Time,Distance
2.612,4.715374946594238
2.636,6.020124912261963
2.661,7.149031162261963
2.677,8.869483947753906
2.702,11.184671401977539
2.726,14.386781692504883
2.743,16.2302188873291
2.764,19.848827362060547
2.775,21.74485969543457
2.793,24.711891174316406
2.81,28.085594177246094
2.831,32.188968658447266
2.843,34.921451568603516
2.857,37.46561050415039
2.873,41.3923454284668
2.892,46.02192306518555
2.906,49.69843673706055
2.923,54.093467712402344
2.941,58.71693801879883
2.96,64.25070190429688
2.974,68.15565490722656
2.989,73.14117431640625
