0.00,	 46.6
0.50,	 45.6
1.00,	 45.4
1.51,	 46.4
2.01,	 45.8
2.51,	 45.8
3.01,	 45.8
3.51,	 45.8
4.02,	 46.2
4.52,	 45.8
5.02,	 45.2
5.52,	 46.6
6.02,	 46.0
6.52,	 45.8
7.03,	 46.0
7.53,	 46.0
8.03,	 46.2
8.53,	 46.2
9.03,	 46.0
9.53,	 45.6
10.03,	 45.8
10.54,	 46.0
11.04,	 45.6
11.54,	 46.0
12.04,	 45.8
12.54,	 46.2
13.04,	 45.4
13.55,	 46.0
14.05,	 46.2
14.55,	 46.0
15.05,	 45.8
15.55,	 46.2
16.05,	 46.0
16.56,	 46.4
17.06,	 46.0
17.56,	 45.6
18.06,	 45.8
18.56,	 46.4
19.06,	 46.0
19.57,	 46.4
20.07,	 45.8
20.57,	 45.8
21.07,	 46.0
21.57,	 45.4
22.07,	 45.4
22.58,	 46.4
23.08,	 46.0
23.58,	 46.0
24.08,	 46.2
24.58,	 46.2
25.09,	 46.0
25.59,	 46.8
26.09,	 46.2
26.59,	 45.8
27.09,	 45.4
27.59,	 45.8
28.10,	 46.0
28.60,	 45.6
29.10,	 46.2
29.60,	 45.4
30.10,	 45.8
30.60,	 45.6
31.11,	 46.0
31.61,	 46.4
32.11,	 45.8
32.61,	 46.2
33.11,	 45.6
33.62,	 45.8
34.12,	 45.6
34.62,	 46.0
35.12,	 45.8
35.62,	 45.6
36.12,	 45.0
36.62,	 46.0
37.13,	 45.8
37.63,	 45.6
38.13,	 46.2
38.63,	 45.8
39.13,	 46.0
39.64,	 46.0
40.14,	 45.8
40.64,	 45.8
41.14,	 45.8
41.64,	 46.0
42.15,	 45.2
42.65,	 45.6
43.15,	 45.8
43.65,	 45.8
44.15,	 46.0
44.65,	 46.2
45.16,	 45.8
45.66,	 45.8
46.16,	 46.2
46.66,	 45.8
47.16,	 45.4
47.66,	 45.8
48.17,	 45.2
48.67,	 45.8
49.17,	 46.2
49.67,	 45.6
50.17,	 46.0
50.67,	 45.8
51.18,	 46.2
51.68,	 45.6
52.18,	 45.8
52.68,	 45.6
53.18,	 45.8
53.68,	 45.8
54.19,	 45.8
54.69,	 45.8
55.19,	 45.8
55.69,	 46.0
56.19,	 45.8
56.69,	 46.8
57.20,	 46.0
57.70,	 45.6
58.20,	 45.2
58.70,	 45.8
59.20,	 45.6
59.70,	 46.2
60.21,	 46.0
